ID,Name,Sentence,Label,LengthWords,LengthChars
wiki-579,Walter Raleigh,"Walter Ralegh's "" History of the World"" and the historical culture of the late Renaissance  (U of Chicago Press, 2012).",1,20,119
wiki-1277,Bird,Swifts are believed to be able to sleep in flight and radar observations suggest that they orient themselves to face the wind in their roosting flight.,1,26,151
wiki-1016,Computer memory,"The memory cells are grouped into words of fixed word length, for example 1, 2, 4, 8, 16, 32, 64 or 128 bit.",1,23,108
viki-244,Aircraft,"Aviation has been evolving since then, along the same principles  used in the Wrights brothers plane.",0,16,101
wiki-169,Henry II of England,"This collapse had various causes, including long-term changes in economic power, growing cultural differences between England and Normandy but, in particular, the fragile, familial nature of Henry's empire.",1,28,206
wiki-911,India,"The emerging urbanisation gave rise to non-Vedic religious movements, two of which became independent religions.",1,15,112
wiki-382,Chad,"Rehabilitation of Cotontchad, a major cotton company weakened by a decline in world cotton prices, has been financed by France, the Netherlands, the European Union, and the International Bank for Reconstruction and Development  (IBRD).",1,34,235
wiki-207,Minoan civilization,"Although some depictions of women may be images of worshipers and priestesses officiating at religious ceremonies  (as opposed to deities), goddesses seem to include a mother goddess of fertility, a goddess of animals and female protectors of cities, the household, the harvest and the underworld.",1,45,297
wiki-1437,Stone Age,"Most scholars date the arrival of humans in Australia at 40,000 to 50,000 years ago, with a possible range of up to 125,000 years ago.",1,25,134
wiki-425,Roman Empire,"The first two centuries of the Empire were a period of unprecedented stability and prosperity known as the Pax Romana  (""Roman Peace"").",1,22,135
wiki-478,Svalbard,"No care or nursing services are available, nor is welfare payment available.",1,12,76
wiki-554,Assumption of Mary,"In Canada, Assumption Day is the Fête Nationale of the Acadians, of whom she is the patron saint.",1,18,97
wiki-1374,Euripides,"Greek tragedy comprised lyric and dialogue, the latter mostly in iambic trimeter  (three pairs of iambic feet per line).",1,19,120
wiki-1086,Iliad,"When Agamemnon takes Briseis from Achilles, he takes away a portion of the kleos he had earned.",1,17,95
wiki-270,Age of Enlightenment,"The major opponent of Freemasonry was the Roman Catholic Church so that in countries with a large Catholic element, such as France, Italy, Spain and Mexico, much of the ferocity of the political battles involve the confrontation between what Davies calls the reactionary Church and enlightened Freemasonry.",1,47,306
wiki-1600,Nantes,"The black and white crosses are historic symbols of Brittany and France, respectively.",1,13,86
wiki-1306,Battle of Marathon,"Some, unaware of the local terrain, ran towards the swamps where unknown numbers drowned.",1,14,89
wiki-314,Austria,"Typical Austrian dishes include Wiener Schnitzel, Schweinsbraten, Kaiserschmarren, Knödel, Sachertorte and Tafelspitz.",1,12,118
wiki-1222,Korean War,"Consequently, the over-extended KPA could not be supplied throughout the south.",1,11,79
wiki-1058,San Marino,"In addition, a tax on imported goods, to be levied by San Marino, was established.",1,15,82
wiki-959,Polo,Unsafe hooking is a foul that will result in a penalty shot being awarded.,1,14,74
wiki-908,Maya civilization,The Kʼicheʼ had carved out a small empire covering a large part of the western Guatemalan Highlands and the neighbouring Pacific coastal plain.,1,23,143
wiki-508,George Eliot,"Although female authors were published under their own names during her lifetime, she wanted to escape the stereotype of women's writing being limited to lighthearted romances.",1,26,176
wiki-1202,Ant,"About 12%, 16%, and 4% of their faecal volume in spring, summer, and autumn, respectively, is composed of ants.",1,19,111
wiki-735,Tiberius,"In addition, Tiberius has prominent roles in Ben-Hur  (played by George Relph in his last starring role), and in A.D.  (played by James Mason).",1,24,143
wiki-1025,Norman Rockwell,* Lana Del Rey named her sixth studio album Norman Fucking Rockwell!,1,12,68
wiki-15,Gorilla,"Mountain gorillas live in the montane forests at the higher ends of the elevation range, while eastern lowland gorillas live in submontane forests at the lower ends of the elevation range.",1,31,188
wiki-744,Armenia,This increase in the importance of agriculture was attributable to food security needs of the population in the face of uncertainty during the first phases of transition and the collapse of the non-agricultural sectors of the economy in the early 1990s.,1,41,253
wiki-1161,Puerto Rico,"The Center for Puerto Rican Studies at New York's Hunter College estimated that some half million people, about 14% of the population, may permanently leave by 2019.",1,27,165
wiki-941,William Henry Harrison,Legacy    Historical reputation   Among Harrison's most enduring legacies is the series of treaties that he either negotiated or signed with Indian leaders during his tenure as the Indiana territorial governor.,1,30,210
wiki-1507,Caps Lock,"Some keyboards also implement a light, so as to give visual feedback about whether it is on or off.",1,19,99
wiki-639,The Secret Garden,"She dislikes her new home, the people living in it, and most of all, the bleak moor on which it sits.",1,21,101
wiki-1095,San Francisco,"Survey data released in 2015 by Gallup place the proportion of the San Francisco metro area at 6.2%, which is the highest such proportion observed of the 50 most populous metropolitan areas as measured by the polling organization.",1,38,230
wiki-299,Vladimir Putin,"After the parliamentary elections on 4 December 2011, tens of thousands of Russians engaged in protests against alleged electoral fraud, the largest protests in Putin's time.",1,26,174
wiki-195,Kit Carson,Carleton put these Apaches on a remote and lonely reservation on the Pecos River.,1,14,81
wiki-1272,Whale,"Polar bear attacks on belugas and narwhals are usually successful in winter, but rarely inflict any damage in summer.",1,19,117
wiki-988,Nickelodeon,", the channel is available to about 87.167 million households in the United States.",1,14,83
wiki-638,Elvis Presley,"Presley recalled, ""I took the guitar, and I watched people, and I learned to play a little bit.",1,18,95
wiki-1515,Socrates,Irvine argues that it was because of his loyalty to Athenian democracy that Socrates was willing to accept the verdict of his fellow citizens.,1,24,142
wiki-885,A Christmas Carol,"Peter Ackroyd, Dickens's biographer, sees similarities between the character and the elder Martin Chuzzlewit character, although the miser is ""a more fantastic image"" than the Chuzzlewit patriarch; Ackroyd observes that Chuzzlewit's transformation to a charitable figure is a parallel to that of the miser.",1,44,306
wiki-324,Zachary Taylor,"To alleviate the Mormon population's concerns over religious freedom, Taylor promised they would have relative independence from Congress despite being a federal territory.",1,23,172
wiki-126,Pseudoscience,"Pseudoscience|Barriers to critical thinking|Fringe theory|Pejoratives|Deception    Pseudoscience consists of statements, beliefs, or practices that are claimed to be both scientific and factual but are incompatible with the scientific method.",1,28,242
wiki-480,Israel,"Israeli government statistics on Jerusalem include the population and area of East Jerusalem, which is widely recognized as part of the Palestinian territories under Israeli occupation.",1,26,185
wiki-1155,Ukraine,"Several Ukrainian states briefly emerged: the internationally recognized Ukrainian People's Republic  (UNR, the predecessor of modern Ukraine, was declared on 23 June 1917 proclaimed at first as a part of the Russian Republic; after the Bolshevik Revolution, the Ukrainian People's Republic proclaimed its independence on 25 January 1918), the Hetmanate, the Directorate and the pro-Bolshevik Ukrainian Soviet Socialist Republic  (or Soviet Ukraine) successively established territories in the former Russian Empire; while the West Ukrainian People's Republic and the Hutsul Republic emerged briefly in the Ukrainian lands of former Austro-Hungarian territory.",1,90,660
wiki-1078,Evolution of birds,Several species of birds have been bred in captivity to create variations on wild species.,1,15,90
wiki-694,Tic-tac-toe,"(Playing a corner in this scenario creates a fork for ""X"" to win.)",1,13,66
wiki-74,Indigenous Australians,Researchers at the University of Newcastle have begun mapping the massacres.,1,11,76
wiki-1683,Donald Trump,The Washington Post reported that Trump had told Sergei Lavrov and Sergey Kislyak in May 2017 he was unconcerned about Russian interference in U.S. elections.,1,25,158
wiki-761,Rain,The monsoon trough can reach as far north as the 40th parallel in East Asia during August before moving southward thereafter.,1,21,125
wiki-472,Oxygen,"This combination of cancellations and σ and  overlaps results in dioxygen's double bond character and reactivity, and a triplet electronic ground state.",1,22,152
wiki-1185,Protestantism,"Pope Innocent X declared the treaty ""null, void, invalid, iniquitous, unjust, damnable, reprobate, inane, empty of meaning and effect for all times"" in his bull .",1,26,162
wiki-1161,Puerto Rico,"In the ""Flags of our nation series"" 2008–2012, of the fifty-five, five territorial flags were featured.",1,16,103
wiki-772,Bamboo,"# Water is pumped through the freshly cut culms, forcing out the sap  (this method is often used in conjunction with the injection of some form of treatment).",1,28,158
wiki-1134,Disease,A treatment or cure is applied after a medical problem has already started.,1,13,75
wiki-153,Biodiversity,"Governments struggle to decide whether to focus on for example, genes, genomes, or organisms and species.",1,16,105
wiki-1250,Rhode Island,"In the early 19th century, Rhode Island was subject to a tuberculosis outbreak which led to public hysteria about vampirism.",1,20,124
wiki-490,Gettysburg Address,"Hay noted that during the speech Lincoln's face had ""a ghastly color"" and that he was ""sad, mournful, almost haggard.""",1,20,118
wiki-456,Family,"""Married couples have dropped below half of all American households.",1,10,68
wiki-7,Barbie,"In September 2003, the Middle Eastern country of Saudi Arabia outlawed the sale of Barbie dolls and franchises, stating that they did not conform to the ideals of Islam.",1,29,169
wiki-1494,Agatha Christie,"Over a thousand police officers, 15,000 volunteers, and several aeroplanes scoured the rural landscape.",1,14,103
wiki-439,Square root,The principal square root function is holomorphic everywhere except on the set of non-positive real numbers  (on strictly negative reals it isn't even continuous).,1,24,163
wiki-975,James Cook,"His five seasons in Newfoundland produced the first large-scale and accurate maps of the island's coasts and were the first scientific, large scale, hydrographic surveys to use precise triangulation to establish land outlines.",1,33,226
wiki-1099,Georges Méliès,"One of his best-known illusions was the Recalcitrant Decapitated Man, in which a professor's head is cut off in the middle of a speech and continues talking until it is returned to his body.",1,34,190
wiki-257,BASE jumping,"* 2017-11-11: Russian BASE jumper Valery Rozov died after jumping from a 22,000-foot mountain in the Himalayas in Nepal.",1,19,120
wiki-55,Leonid Brezhnev,National and international statesmen from around the globe attended his funeral.,1,11,80
wiki-548,Swan Lake,"Although the two artists were required to collaborate, each seemed to prefer working as independently of the other as possible.",1,20,127
wiki-478,Svalbard,"Research and tourism have become important supplementary industries, with the University Centre in Svalbard  (UNIS) and the Svalbard Global Seed Vault playing critical roles.",1,24,174
wiki-194,Enid Blyton,"From 1907 to 1915 Blyton attended St Christopher's School in Beckenham, where she enjoyed physical activities and became school tennis champion and captain of lacrosse.",1,25,168
wiki-22,Snake,Some species retain a pelvic girdle with a pair of vestigial claws on either side of the cloaca.,1,18,96
wiki-164,United Kingdom,"It has a high-income economy and has a very high Human Development Index rating, ranking 14th in the world.",1,19,107
wiki-1600,Nantes,"Virgin Radio has a local outlet in nearby Basse-Goulaine, and Chérie FM and NRJ have outlets in Rezé.",1,18,101
wiki-106,Danish krone,"Transfers between the countries count as international with international fees, outside EU rules.",1,13,97
wiki-1295,Ancient Rome,"Under the Flavians, Rome continued its expansion, and the state remained secure.",1,12,80
wiki-944,Boston,"Murders in the city dropped from 152 in 1990  (for a murder rate of 26.5 per 100,000 people) to just 31—not one of them a juvenile—in 1999  (for a murder rate of 5.26 per 100,000).",1,35,180
wiki-1049,Judaism,"The commentaries from each of these communities were eventually compiled into the two Talmuds, the Jerusalem Talmud  (Talmud Yerushalmi) and the Babylonian Talmud  (Talmud Bavli).",1,25,179
wiki-138,Richard III of England,"For his part, Buckingham raised a substantial force from his estates in Wales and the Marches.",1,16,94
wiki-271,Franklin D. Roosevelt,"With the end of the war in Europe approaching, Roosevelt's primary focus was on convincing Stalin to enter the war against Japan; the Joint Chiefs had estimated that an American invasion of Japan would cause as many as one million American casualties.",1,42,251
wiki-1177,Deer,"The gland contains a strongly scented pheromone, used to mark its home range.",1,13,77
wiki-1595,Thomas Paine,"Born in Thetford in the English county of Norfolk, Paine migrated to the British American colonies in 1774 with the help of Benjamin Franklin, arriving just in time to participate in the American Revolution.",1,34,207
viki-847,Bus,"A bus is used by people to travel short distances in cities, but there are also long distance buses.",0,19,100
wiki-681,Quran,"The 10th-century Muslim scholar from Baghdad, Ibn Mujāhid, is famous for establishing seven acceptable textual readings of the Quran.",1,19,133
viki-555,International_System_of_Units,"Later, this suggestion would be used to create the centimetre-gram-second system of units (CGS), which used the centimetre as the base unit for length, the gram as the base unit for mass, and the second as the base unit for time.",0,41,229
wiki-387,Saudi Arabia,Tensions have escalated between Saudi Arabia and its allies after the disappearance of Jamal Khashoggi from the Saudi consulate in Istanbul.,1,21,140
wiki-1038,Yemen,"Muhammed sent Muadh ibn Jabal, as well to Al-Janad, in present-day Taiz, and dispatched letters to various tribal leaders.",1,19,122
wiki-1222,Korean War,"The unpreparedness of US POWs to resist heavy communist indoctrination during the Korean War led to the Code of the United States Fighting Force which governs how US military personnel in combat should act when they must ""evade capture, resist while a prisoner or escape from the enemy"".",1,48,287
wiki-164,United Kingdom,"Migration from new EU member states in Central and Eastern Europe since 2004 has resulted in growth in these population groups, although some of this migration has been temporary.",1,29,179
wiki-597,Welding,"Porosity and brittleness were the primary problems, and the solutions that developed included the use of hydrogen, argon, and helium as welding atmospheres.",1,23,156
wiki-716,Carbon dioxide,"In about 1640, the Flemish chemist Jan Baptist van Helmont observed that when he burned charcoal in a closed vessel, the mass of the resulting ash was much less than that of the original charcoal.",1,35,196
wiki-1297,Chocolate,"The basic blends of ingredients for the various types of chocolate  (in order of highest quantity of cocoa liquor first), are:  *",1,22,129
wiki-1438,Sigmund Freud,Vitz suggests that Freud may have been unaware his theory of the unconscious was reminiscent of Aquinas.,1,17,104
wiki-1389,Easter,"In addition, the lunar tables of the Julian calendar are four days  (sometimes five days) behind those of the Gregorian calendar.",1,21,129
wiki-1384,Marsupial,"The upper jaw has a high number of incisors, up to ten, and they have more molars than premolars.",1,19,97
wiki-1388,Apollo,"Apollo adopted Carnus, the abandoned son of Zeus and Europa.",1,10,60
wiki-401,Davy Crockett,"Fess Parker  (Davy Crockett, King of the Wild Frontier, 1955, and Davy Crockett and the River Pirates, 1956, both on Walt Disney's Disneyland)",1,23,142
viki-452,Andrew_Johnson,He was preceded by Abraham Lincoln and was succeeded by Ulysses S. Grant.,0,13,73
wiki-553,Grover Cleveland,"For this, and other actions safeguarding public funds, Cleveland's reputation as a leader willing to purge government corruption began to spread beyond Erie County.",1,24,164
wiki-1390,Neuschwanstein Castle,"Palace-building projects similar to Neuschwanstein had been undertaken earlier in several of the German states and included Hohenschwangau Castle, Lichtenstein Castle, Hohenzollern Castle, and numerous buildings on the River Rhine such as Stolzenfels Castle.",1,34,258
wiki-246,Frozen,"** Frozen  (franchise), a Disney media franchise based on the 2013 film  *",1,13,74
wiki-24,City,"While in the US and elsewhere poverty became associated with the inner city, in France it has become associated with the banlieues, areas of urban development which surround the city proper.",1,31,190
wiki-435,The Rite of Spring,"Boosey & Hawkes reissued their 1948 edition in 1965, and produced a newly engraved edition  (B&H 19441) in 1967.",1,19,112
wiki-1113,Vietnam War,The MAC-10 machine pistol was supplied to many special forces troops in the midpoint of the war.,1,17,96
wiki-1328,Romance languages,"Notable examples are *blancus ""white"", replacing native albus  (but Romansh alv, Dalmatian jualb, Romanian alb);",1,15,112
wiki-796,Spain,"The Prime Minister, Manuel Godoy, then ensured that Spain allied herself with France in the brief War of the Third Coalition which ended with the British naval victory at the Battle of Trafalgar in 1805.",1,35,203
wiki-1395,Tallinn,Pirita    This coastal district is a further 2 kilometres north-east of Kadriorg.,1,12,81
wiki-285,Parliament,"A controversial figure accused of despotism, war crimes, and even genocide, Cromwell is nonetheless regarded as essential to the growth of democracy in England.",1,24,160
wiki-7,Barbie,"In recent years, Mattel has sold a wide range of Barbie dolls aimed specifically at collectors, including porcelain versions, vintage reproductions, and depictions of Barbie as a range of characters from film and television series such as The Munsters and Star Trek.",1,42,266
wiki-1049,Judaism,"Meanwhile, in the United States, wealthy Reform Jews helped European scholars, who were Orthodox in practice but critical  (and skeptical) in their study of the Bible and Talmud, to establish a seminary to train rabbis for immigrants from Eastern Europe.",1,40,254
wiki-647,Chinese language,"The CC-CEDICT project  (2010) contains 97,404 contemporary entries including idioms, technology terms and names of political figures, businesses and products.",1,20,158
wiki-162,Carl Linnaeus,"Linnaeus was also taught about the sexual reproduction of plants, according to Sébastien Vaillant.",1,14,98
wiki-904,Nikita Khrushchev,"Khrushchev carefully cultivated high Party officials, and was able to appoint supporters as local Party bosses, who then took seats on the Central Committee.",1,24,157
wiki-1281,Communism,"Criticism   Criticism of communism can be divided into two broad categories: that which concerns itself with the practical aspects of 20th century communist states  Marxism is also subject to general criticisms, criticisms related to historical materialism that it is a type of historical determinism, the necessary suppression of liberal democratic rights, issues with the implementation of communism and economic issues such as the distortion or absence of price signals.",1,69,473
wiki-613,Soil,"He realised that the soils were dynamic, and considered soil types classification.",1,12,82
wiki-1023,Alfred Hitchcock,"His work there included Number 13  (1922), also known as Mrs. Peabody, cancelled because of financial problems—the few finished scenes are lost—and Always Tell Your Wife  (1923), which he and Seymour Hicks finished together when Hicks was about to give up on it.",1,43,262
wiki-469,Ulysses S. Grant,"In his December 5, 1876, Eighth Annual Message, Grant apologized to the nation and admitted mistakes were made: ""Failures have been errors of judgement, not of intent.""",1,27,168
wiki-1704,Walrus,"Odobenidae was once a highly diverse and widespread family, including at least twenty species in the subfamilies Imagotariinae, Dusignathinae and Odobeninae.",1,21,157
wiki-796,Spain,The Protestant Reformation dragged the kingdom ever more deeply into the mire of religiously charged wars.,1,16,106
wiki-958,William III of England,"Despite his conversion to Anglicanism, William's popularity plummeted during his reign as a sole monarch.",1,15,105
wiki-1247,Cloud computing,The OpenStack project intended to help organizations offering cloud-computing services running on standard hardware.,1,14,116
wiki-1546,Ice hockey,The league began paying its players a stipend in the 2017–18 season when the league launched its first teams in China.,1,21,118
wiki-1103,Jean-Jacques Rousseau,"In the degenerate phase of society, man is prone to be in frequent competition with his fellow men while also becoming increasingly dependent on them.",1,25,150
wiki-589,Climate,Climate change   Climate change is the variation in global or regional climates over time.,1,14,90
wiki-1163,German language,"Around the same time, the Hanseatic League, based around northern ports, lost its importance as new trade routes to Asia and the Americas were established, and the most powerful German states of that period were located in Middle and Southern Germany.",1,41,251
viki-523,Renaissance,"1532, The Prince by Machiavelli is published, showing that people who wish to have political power often do wicked things to get it.",0,23,132
wiki-1504,Marco Polo,"Captured Venetian citizens were blinded, while many of those who managed to escape perished aboard overloaded refugee ships fleeing to other Venetian colonies in the Aegean Sea.",1,27,177
wiki-428,Meadow vole,"One subspecies, the Florida salt marsh vole  (M. p. dukecampbelli), is found in Florida, and is classified as endangered.",1,19,121
wiki-994,New York City,These teams compete in six games of interleague play every regular season that has also come to be called the Subway Series.,1,22,124
wiki-1403,September 11 attacks,"Atef provided operational support, including target selections and helping arrange travel for the hijackers.",1,14,108
wiki-1004,Amsterdam,"In 2013, there were about 1,200,000 bicycles in Amsterdam outnumbering the number of citizens in the city.",1,17,106
wiki-750,Fungus,The fruiting structures of a few species contain psychotropic compounds and are consumed recreationally or in traditional spiritual ceremonies.,1,19,143
wiki-323,Jorge Luis Borges,"His first publication, for a Buenos Aires newspaper, was a translation of Oscar Wilde's story ""The Happy Prince"" into Spanish when he was nine.",1,24,143
wiki-928,Bucharest,File:Globalworth Tower Bucharest.jpg|Amazon currently operates office space in the Globalworth Tower.,1,11,101
wiki-322,Australia,"With the loss of its American colonies in 1783, the British Government sent a fleet of ships, the ""First Fleet"", under the command of Captain Arthur Phillip, to establish a new penal colony in New South Wales.",1,37,209
wiki-880,Wolfgang Amadeus Mozart,"The two are among Mozart's most famous works and are mainstays of the operatic repertoire today, though at their premieres their musical complexity caused difficulty for both listeners and performers.",1,30,200
wiki-485,"Washington, D.C.",An expected 32% increase in transit usage within the District by 2030 has spurred the construction of a new DC Streetcar system to interconnect the city's neighborhoods.,1,27,169
wiki-1295,Ancient Rome,"The expansion of the Roman Empire spread Latin throughout Europe, and Vulgar Latin evolved into dialects in different locations, gradually shifting into many distinct Romance languages.",1,26,185
wiki-1721,North Korea,"In 1972, the two Koreas agreed in principle to achieve reunification through peaceful means and without foreign interference.",1,18,125
wiki-1052,Qatar,"This resulted in the maritime Qatari–Bahraini War of 1867–1868, in which Bahraini and Abu Dhabi forces sacked and looted Doha and Al Wakrah.",1,23,140
wiki-197,Holland,Today this refers specifically to people from the current provinces of North Holland and South Holland.,1,16,103
wiki-1084,Amazon River,"By the turn of the 20th century, the exports of the Amazon basin were India-rubber, cacao beans, Brazil nuts and a few other products of minor importance, such as pelts and exotic forest produce  (resins, barks, woven hammocks, prized bird feathers, live animals) and extracted goods, such as lumber and gold.",1,51,309
wiki-1595,Thomas Paine,"What we obtain too cheap, we esteem too lightly: it is dearness only that gives every thing its value.",1,19,102
wiki-736,Star,"The first star catalogue in Greek astronomy was created by Aristillus in approximately 300 BC, with the help of Timocharis.",1,20,123
wiki-877,Zeus,"Farnell, Lewis Richard, Cults of the Greek States 5 vols.",1,10,57
wiki-930,Starbucks,Starbucks had drawn similar criticism when they reintroduced the vintage logo in 2006.,1,13,86
wiki-1379,Marie Taglioni,It is unknown who the father is even though the birth certificate states the father as Gilbert de Voisins.,1,19,106
wiki-1038,Yemen,The NLF hoped to destroy all the sultanates and eventually unite with the Yemen Arab Republic.,1,16,94
wiki-690,Arithmetic,"For numbers with a fractional part, such as 546.934, they used negative powers of 60 instead of negative powers of 10 for the fractional part 0.934.",1,26,148
wiki-148,Venus de Milo,Duyker asserts that Kendrotas was taking stone from a ruined chapel on the edge of his property&nbsp;– terraced land that had once formed part of a Roman gymnasium&nbsp;– and that he discovered an oblong cavity some 1.2 x 1.5 metres deep in the volcanic tuff.,1,45,259
wiki-1162,Mughal Empire,The Europeans regarded Bengal as the richest place for trade.,1,10,61
wiki-1366,Delaware,"Vacationers are drawn for many reasons, including the town's charm, artistic appeal, nightlife, and tax free shopping.",1,17,118
viki-811,Peter_McDougall,It also featured on the DVD an exclusive documentary Razor Sharp.,0,11,65
wiki-1052,Qatar,Qatar also does not maintain wage standards for its immigrant labourers.,1,11,72
wiki-895,HTML,Whether coding in HTML or XHTML it may just be best to always include the optional tags within an HTML document rather than remembering which tags can be omitted.,1,29,162
wiki-130,Romanian language,"și le-au scris voo fraților români"" and in Letopisețul Țării Moldovei written by the Moldavian chronicler Grigore Ureche we can read: «În Țara Ardialului nu lăcuiesc numai unguri, ce și sași peste seamă de mulți și români peste tot locul...»",1,40,241
wiki-881,Vince Cable,"December 2010 Daily Telegraph comments   In late-December 2010, undercover reporters from The Daily Telegraph, posing as constituents, set up a meeting with Cable, who expressed frustration with being in the coalition and compared it to ""fighting a war""; he stated he had ""a nuclear option... if they push me too far then I can walk out and bring the government down and they know that"", and had to ""pick"" his fights carefully.",1,72,427
wiki-1142,Eurovision Song Contest,"The change in procedure was aimed to make the show more exciting and ensure that all contestants had a chance to stand out, preventing entries that are too similar from cancelling each other out.",1,34,195
wiki-1146,Hand,"In contrast, the capitate, the ""keystone"" of the distal arch, moves together with the metacarpal bones and the distal arch is therefore rigid.",1,23,142
wiki-1593,Pindar,"The Muses are to him as an oracle is to a prophet, and lesser poets are to him as ravens are to an eagle; the art of such men is as hackneyed as garland-making; his is magical:   Works   Pindar's strongly individual genius is apparent in all his extant compositions but, unlike Simonides and Stesichorus for example, he created no new lyrical genres.",1,62,350
wiki-1140,Human,"Emotion has a significant influence on, or can even be said to control, human behavior, though historically many cultures and philosophers have for various reasons discouraged allowing this influence to go unchecked.",1,32,216
wiki-370,Egg,"Scientists regard egg collections as a good natural-history data, as the details recorded in the collectors' notes have helped them to understand birds' nesting behaviors.",1,25,171
wiki-1224,John F. Kennedy,"...&nbsp;We choose to go to the Moon in this decade and do the other things, not because they are easy, but because they are hard.",1,25,130
wiki-1590,"Lansing, Michigan","When announced, many present openly laughed that such an insignificant settlement was now Michigan's capital.",1,15,109
wiki-1261,Saint Petersburg,"Their music video for ""Skibidi"" was filmed in the city, starting at Akademicheskiy Pereulok.",1,14,92
wiki-1597,Mickey Mantle,The Yankees played the Indians that day and honored him with a tribute.,1,13,71
wiki-1264,Harold Wilson,He served as Praelector in Economics at University College between his resignation and his election to the House of Commons.,1,20,124
wiki-891,Common Era,"The notation до Р.Х./от Р.Х.  (до/от Рождества Христова, i.e. before/after the birth of Christ, equivalent to Latin Ante Christum natum) used almost only within the Christian religious tradition.    Notes",1,29,204
wiki-991,Louis Armstrong,He also became second trumpet for the Tuxedo Brass Band.,1,10,56
wiki-1110,Hurricane Katrina,"The remnants of Katrina brought  of rain to portions of Massachusetts, causing flash flooding in Bristol and Plymouth counties.",1,19,127
wiki-301,Slavery,"Examples   Some argue that military drafts, and other forms of coerced government labour constitute ""state-operated slavery.""",1,16,125
